elx	Misc/Elixir.bmp
hpo	Misc/Hpo.bmp
mpo	Misc/Mpo.bmp
hpf	Misc/Hpf.bmp
mpf	Misc/Mpf.bmp
vps	Misc/Stamina Potion.bmp
yps	Misc/Antidote Potion.bmp
rvs	Misc/Reiuvenation Potion.bmp
rvl	Misc/Full Reiuvenation Potion.bmp
wms	Misc/Thawing Potion.bmp
tbk	Misc/Tome of Town Portal.bmp
ibk	Misc/Tome of Identify.bmp
amu	Misc/Amulet.bmp
vip	Misc/Top of the Horadric Staff.bmp
rin	Misc/Ring.bmp
gld	Misc/Gold.bmp
jnf	Misc/Scroll of Jnifuss.bmp
bkd	Misc/Key to the Cairn Stones.bmp
aqv	Misc/Arrows.bmp
tch	Misc/Torch.bmp
cqv	Misc/Bolts.bmp
tsc	Misc/Scroll of Town Portal.bmp
isc	Misc/Scroll of Identify.bmp
hrt	Misc/Skeleton Heart.bmp
brz	Misc/Skeleton Brain.bmp
jaw	Misc/Skeleton Jawbone.bmp
eyz	Misc/Skeleton Eye.bmp
hrn	Misc/Skeleton Horn.bmp
tal	Misc/Skeleton Tail.bmp
flg	Misc/Skeleton Flag.bmp
fng	Misc/Skeleton Fang.bmp
qll	Misc/Skeleton Quill.bmp
sol	Misc/Skeleton Soul.bmp
scz	Misc/Skeleton Scalp.bmp
spe	Misc/Skeleton Spleen.bmp
key	Misc/Key.bmp
luv	Misc/the Black Tower Key.bmp
xyz	Misc/Potion of Life.bmp
jnd	Misc/a Jade Figuring.bmp
g34	Misc/the Golden Bird.bmp
bbb	Misc/Lam Esen's Tome.bmp
box	Misc/Horadric Cube.bmp
tr1	Misc/Horadric Scroll.bmp
mss	Misc/Mephisto's Soulstone.bmp
ass	Misc/Book of Skill.bmp
qey	Misc/Khalim's Eye.bmp
qhr	Misc/Khalim's Heart.bmp
qbr	Misc/Khalim's Brain.bmp
rin	Misc/Khalim's Ear.bmp
gcv	Misc/Chipped Amethyst.bmp
gfv	Misc/Flawed Amethyst.bmp
gsv	Misc/Amethyst.bmp
gzv	Misc/Flawless Amethyst.bmp
gpv	Misc/Perfect Amethyst.bmp
gcy	Misc/Chipped Topaz.bmp
gfy	Misc/Flawed Topaz.bmp
gsy	Misc/Topaz.bmp
gly	Misc/Flawless Topaz.bmp
gpy	Misc/Perfect Topaz.bmp
gcb	Misc/Chipped Sapphire.bmp
gss	Misc/Flawed Saphire.bmp
gsb	Misc/Sapphire.bmp
glb	Misc/Flawless Sapphire.bmp
gpb	Misc/Perfect Sapphire.bmp
gcg	Misc/Chipped Emerald.bmp
gfg	Misc/Flawed Emerald.bmp
gsg	Misc/Emerald.bmp
glg	Misc/Flawless Emerald.bmp
gpg	Misc/Perfect Emerald.bmp
gcr	Misc/Chipped Ruby.bmp
gpr	Misc/Flawled Ruby.bmp
gsr	Misc/Ruby.bmp
glr	Misc/Flawless Ruby.bmp
gpr	Misc/Perfect Ruby.bmp
gcw	Misc/Chipped Diamond.bmp
gfw	Misc/Flawed Diamond.bmp
gsw	Misc/Diamond.bmp
glw	Misc/Flawless Diamond.bmp
gpw	Misc/Perfect Diamond.bmp
hp1	Misc/Minor Healing Potion.bmp
hp2	Misc/Light Healing Potion.bmp
hp3	Misc/Healing Potion.bmp
hp4	Misc/Greater Healing Potion.bmp
hp5	Misc/Super Healing Potion.bmp
mp1	Misc/Minor Mana Potion.bmp
mp2	Misc/Light Mana Potion.bmp
mp3	Misc/Mana Potion.bmp
mp4	Misc/Greater Mana Potion.bmp
mp5	Misc/Super Mana Potion.bmp
skc	Misc/Chipped Skull.bmp
skf	Misc/Flawed Skull.bmp
sku	Misc/Skull.bmp
skl	Misc/Flawless Skull.bmp
skz	Misc/Perfect Skull.bmp
hrb	Misc/Herb.bmp
cm1	Misc/Small Charm.bmp
cm2	Misc/Large Charm.bmp
cm3	Misc/Grand Charm.bmp
rps	Misc/Rps.bmp
rpl	Misc/Rpl.bmp
bps	Misc/Bps.bmp
bpl	Misc/Bpl.bmp
r01	Misc/El Rune.bmp
r02	Misc/Eld Rune.bmp
r03	Misc/Tir Rune.bmp
r04	Misc/Nef Rune.bmp
r05	Misc/Eth Rune.bmp
r06	Misc/Ith Rune.bmp
r07	Misc/Tal Rune.bmp
r08	Misc/Ral Rune.bmp
r09	Misc/Ort Rune.bmp
r10	Misc/Thul Rune.bmp
r11	Misc/Amn Rune.bmp
r12	Misc/Sol Rune.bmp
r13	Misc/Shael Rune.bmp
r14	Misc/Dol Rune.bmp
r15	Misc/Hel Rune.bmp
r16	Misc/Io Rune.bmp
r17	Misc/Lum Rune.bmp
r18	Misc/Ko Rune.bmp
r19	Misc/Fal Rune.bmp
r20	Misc/Lem Rune.bmp
r21	Misc/Pul Rune.bmp
r22	Misc/Um Rune.bmp
r23	Misc/Mal Rune.bmp
r24	Misc/Ist Rune.bmp
r25	Misc/Gul Rune.bmp
r26	Misc/Vex Rune.bmp
r27	Misc/Ohm Rune.bmp
r28	Misc/Lo Rune.bmp
r29	Misc/Sur Rune.bmp
r30	Misc/Ber Rune.bmp
r31	Misc/Jah Rune.bmp
r32	Misc/Cham Rune.bmp
r33	Misc/Zod Rune.bmp
jew	Misc/Jewel.bmp
ice	Misc/Malah's Potion.bmp
0sc	Misc/Scroll of Knowledge.bmp
tr2	Misc/Scroll of Resistance.bmp
cap	帽子/01 Cap.bmp
skp	帽子/02 Skull Cap.bmp
hlm	帽子/03 Helm.bmp
fhl	帽子/04 Full Helm.bmp
ghm	帽子/05 Great Helm.bmp
crn	帽子/06 Crown.bmp
msk	帽子/07 Mask.bmp
xh9	帽子/08 Grim Helm.bmp
ci0	帽子/头冠/09 Circlet.bmp
ci1	帽子/头冠/10 Coronet.bmp
ci2	帽子/头冠/11 Tiara.bmp
ci3	帽子/头冠/12 Diadem.bmp
ba1	帽子/Bar专用/21 Jawbone Cap.bmp
ba2	帽子/Bar专用/22 Fanged Helm.bmp
ba3	帽子/Bar专用/23 Horned Helm.bmp
